satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
assez bien,bien,low,157,3,no,yes,no,sales,low
excellent,excellent,medium,262,6,no,yes,no,sales,medium
passable,excellent,high,272,4,no,yes,no,sales,medium
tres bien,excellent,medium,223,5,no,yes,no,sales,low
assez bien,bien,low,159,3,no,yes,no,sales,low
bien,bien,low,153,3,no,yes,no,sales,low
passable,tres bien,high,247,4,no,yes,no,sales,low
excellent,excellent,medium,259,5,no,yes,no,sales,low
excellent,excellent,medium,224,5,no,yes,no,sales,low
bien,bien,low,142,3,no,yes,no,sales,low
bien,bien,low,135,3,no,yes,no,sales,low
passable,excellent,high,305,4,no,yes,no,sales,low
excellent,excellent,medium,234,5,no,yes,no,sales,low
bien,bien,low,148,3,no,yes,no,sales,low
assez bien,bien,low,137,3,no,yes,no,sales,low
assez bien,bien,low,143,3,no,yes,no,sales,low
bien,bien,low,160,3,no,yes,no,sales,low
tres bien,excellent,medium,255,6,no,yes,no,sales,low
bien,bien,low,160,3,yes,yes,yes,sales,low
tres bien,excellent,medium,262,5,no,yes,no,sales,low
passable,excellent,high,282,4,no,yes,no,sales,low
assez bien,bien,low,147,3,no,yes,no,sales,low
passable,excellent,high,304,4,no,yes,no,sales,low
bien,bien,low,139,3,no,yes,no,sales,low
bien,bien,low,158,3,no,yes,no,sales,low
excellent,excellent,medium,242,5,no,yes,no,sales,low
excellent,excellent,medium,239,5,no,yes,no,sales,low
bien,bien,low,135,3,no,yes,no,sales,low
bien,bien,low,128,3,no,yes,no,accounting,low
assez bien,bien,low,132,3,no,yes,no,accounting,low
passable,tres bien,high,294,4,no,yes,no,accounting,low
bien,bien,low,134,3,no,yes,no,hr,low
bien,bien,low,145,3,no,yes,no,hr,low
bien,bien,low,140,3,no,yes,no,hr,low
excellent,excellent,medium,246,6,no,yes,no,hr,low
passable,excellent,high,255,4,no,yes,no,technical,low
assez bien,bien,low,137,3,no,yes,no,technical,low
bien,bien,low,126,3,no,yes,no,technical,low
passable,excellent,high,306,4,no,yes,no,technical,low
bien,bien,low,152,3,no,yes,no,technical,low
excellent,excellent,medium,269,5,no,yes,no,technical,low
bien,bien,low,158,3,no,yes,no,technical,low
bien,bien,low,127,3,no,yes,no,technical,low
passable,excellent,high,281,4,no,yes,no,technical,low
passable,excellent,high,276,4,no,yes,no,technical,low
excellent,tres bien,low,182,4,no,yes,no,technical,low
bien,bien,low,147,3,no,yes,no,support,low
bien,tres bien,low,273,6,no,yes,no,support,low
bien,bien,low,148,3,no,yes,no,support,low
bien,bien,low,147,3,no,yes,no,support,low
passable,tres bien,high,152,2,no,yes,no,support,low
bien,bien,low,135,3,no,yes,no,support,low
assez bien,bien,low,134,3,no,yes,no,support,low
assez bien,bien,low,132,3,no,yes,no,support,low
passable,excellent,high,307,4,no,yes,no,support,low
assez bien,bien,low,140,3,no,yes,no,support,low
passable,excellent,high,255,4,no,yes,no,support,low
passable,excellent,high,309,4,no,yes,no,technical,low
assez bien,bien,low,128,3,no,yes,no,technical,low
excellent,excellent,medium,225,5,no,yes,no,technical,low
excellent,excellent,medium,226,5,no,yes,no,management,medium
passable,excellent,high,308,4,no,yes,no,IT,medium
passable,excellent,high,244,5,no,yes,no,IT,medium
assez bien,bien,low,132,3,no,yes,no,IT,medium
passable,excellent,high,286,4,no,yes,no,IT,medium
excellent,tres bien,high,161,4,no,yes,no,IT,medium
bien,bien,low,153,3,no,yes,no,product_mng,medium
excellent,excellent,medium,264,6,no,yes,no,product_mng,medium
tres bien,excellent,medium,223,5,yes,yes,no,product_mng,medium
bien,bien,low,135,3,no,yes,no,product_mng,medium
tres bien,excellent,low,277,3,no,yes,no,IT,medium
passable,tres bien,medium,275,4,no,yes,no,product_mng,medium
bien,bien,low,149,3,no,yes,no,product_mng,high
passable,excellent,high,295,4,no,yes,no,product_mng,low
passable,excellent,high,277,4,no,yes,no,product_mng,medium
